Query,Date,Arix,Google,Google Scholar,Sematic Scholar
Fair GIS Applications,2014,0,25600,7480,3895
Fair GIS Applications,2015,0,32800,7960,3851
Fair GIS Applications,2016,0,55000,8140,3552
Fair GIS Applications,2017,0,62200,8400,3450
Fair GIS Applications,2018,0,71300,8930,3596
Fair GIS Applications,2019,0,103000,9390,3890
Fair GIS Applications,2020,0,133000,10600,3959
Fair GIS Applications,2021,0,96200,12200,3847
Fair GIS Applications,2022,0,163000,10700,3483
Fair GIS Applications,2023,0,379000,8970,3170
